exp_name,
mol_22_bocs_1,-717119.659190258 
mol_22_bocs_3,-717119.659190258
mol_12_base_3,-321357.706198883
mol_12_bocs_15,-321357.706198883 
mol_22_bocs_2,-717119.659190258
mol_12_base_5,-321357.706198883
mol_12_base_6,-321357.706198883 
mol_1_bocs_2,-493124.6701872513
mol_12_base_7,-321357.706198883
mol_12_bocs_7,-321357.706198883
mol_22_bocs_5,-717119.659190258 
mol_12_bocs_12,-321357.706198883
mol_12_bocs_3,-321357.706198883
mol_12_base_9,-321357.706198883
mol_12_base_2,-321357.706198883
mol_1_bocs_1,-493124.6701872513
mol_12_bocs_10,-321357.706198883 
mol_12_base_1,-321357.706198883
mol_12_bocs_9,-321357.706198883   
mol_12_bocs_5,-321357.706198883
mol_12_bocs_11,-321357.706198883
mol_12_base_4,-321357.706198883 
mol_0_base_1,-1056417.0631728396
mol_0_bocs_6,-1056417.0631725974
mol_0_base_5,-1056417.0631725974
mol_0_base_2,-1056417.0631725974
mol_0_base_3,-1056417.0631725974
mol_0_bocs_1,-1056417.0631725974 
mol_0_base_4,-1056417.0631725974 
mol_0_bocs_10,-1056417.0631725974  
mol_0_bocs_2,-1056417.0631725974 
mol_0_bocs_9,-1056417.0631725974
mol_22_bocs_4,-717119.659190258
mol_1_bocs_3,-493124.6701872513
mol_0_base_6,-1056417.0631725974
